Date,Time,Hspd(rpm),PID#,Vbec(V),*Cnt,*Skp,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Vbat(V),Curr(A),Capa(mAh),Bat%(%),Cel#,Vcel(V),Tesc(°C),Alt(m),MDL#,Rud,Ele,Thr,Ail,SB,SC,SD,SE,SF,SW1,SW2,SW3,SW4,SW5,SW6,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-15,14:25:19.340,1891,1,7.91,267,1,-83,-77,100,9,1,29,10,-85,100,8,28.02,32.28,105,97,7,4.00,35,5.11,0,-2,35,35,183,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1591,1517,1517,1499,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:20.340,1893,1,7.90,269,1,-77,-73,100,9,1,29,10,-47,100,8,28.40,21.50,115,97,7,4.05,36,2.13,0,-934,-116,431,-114,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1443,1442,1715,1033,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:21.340,1908,1,7.91,271,1,-75,-73,100,9,1,29,10,-62,100,8,28.22,25.76,123,97,7,4.02,36,2.97,0,-1024,32,1024,8,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1515,2012,988,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:22.340,1864,1,7.91,273,1,-67,-63,100,9,1,29,10,-75,100,8,27.70,49.79,134,97,7,3.95,36,7.19,0,-1024,21,-905,27,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1513,1510,1048,988,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:23.340,1961,1,7.92,275,1,-76,-86,100,9,1,29,10,-61,100,8,28.14,36.19,146,97,7,4.03,37,9.44,0,-548,6,685,12,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1506,1503,1842,1226,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:24.340,1901,1,7.92,277,1,-80,-75,100,9,1,29,10,-82,100,8,27.63,48.86,155,96,7,3.94,37,3.41,0,-2,4,245,24,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1512,1502,1622,1499,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:25.340,1961,2,7.92,279,1,-75,-73,100,9,1,29,10,-70,100,9,28.15,25.40,160,96,7,4.03,37,4.66,0,-3,3,-71,7,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1501,1465,1499,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:26.340,2114,3,7.92,281,1,-74,-72,100,9,1,29,10,-71,100,8,28.11,26.35,171,96,7,4.01,37,2.63,0,-14,4,1024,8,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,2012,1493,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:27.340,2137,3,7.89,283,1,-74,-77,100,9,1,29,10,-65,100,8,27.81,44.63,189,96,7,3.97,37,3.60,0,26,-56,-362,-41,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1480,1472,1319,1513,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:28.340,2069,3,7.87,285,1,-74,-76,100,9,1,29,10,-67,100,8,27.42,52.57,201,95,7,4.00,38,2.60,0,-1024,39,-646,7,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1519,1177,988,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
